ip.src	udp.srcport	ip.dst	udp.dstport	dns.qry.name	dns.resp.name
10.0.0.102	53	10.0.0.103	56612	dnscat.2b2e012b7667c6a25eb904001b86ad7666	dnscat.2b2e012b7667c6a25eb904001b86ad7666
10.0.0.103	56612	10.0.0.102	53	dnscat.6974012b7677aef56d90aa001c506aed5b	
10.0.0.102	53	10.0.0.103	56612	dnscat.6974012b7677aef56d90aa001c506aed5b	dnscat.6974012b7677aef56d90aa001c506aed5b
10.0.0.103	56612	10.0.0.102	53	dnscat.1359012b7600dfc0eb0f9e001dc01fb738	
10.0.0.102	53	10.0.0.103	56612	dnscat.1359012b7600dfc0eb0f9e001dc01fb738	dnscat.1359012b7600dfc0eb0f9e001dc01fb738
10.0.0.103	56612	10.0.0.102	53	dnscat.45b6012b76684cbebae270001e5c3f0166	
10.0.0.102	53	10.0.0.103	56612	dnscat.45b6012b76684cbebae270001e5c3f0166	dnscat.45b6012b76684cbebae270001e5c3f0166
10.0.0.103	56612	10.0.0.102	53	dnscat.67a8012b76a094cb5c1815001f80f630cc	
10.0.0.102	53	10.0.0.103	56612	dnscat.67a8012b76a094cb5c1815001f80f630cc	dnscat.67a8012b76a094cb5c1815001f80f630cc
10.0.0.103	56612	10.0.0.102	53	dnscat.48f3012b76e04559306b3400209c8794b5	
10.0.0.102	53	10.0.0.103	56612	dnscat.48f3012b76e04559306b3400209c8794b5	dnscat.48f3012b76e04559306b3400209c8794b5
10.0.0.103	56612	10.0.0.102	53	dnscat.2e6f012b7649ef7389dd590021f7db9f05	
10.0.0.102	53	10.0.0.103	56612	dnscat.2e6f012b7649ef7389dd590021f7db9f05	dnscat.2e6f012b7649ef7389dd590021f7db9f05
10.0.0.103	56612	10.0.0.102	53	dnscat.15d6012b766f12505b37bd00224804e953	
10.0.0.102	53	10.0.0.103	56612	dnscat.15d6012b766f12505b37bd00224804e953	dnscat.15d6012b766f12505b37bd00224804e953
10.0.0.103	56612	10.0.0.102	53	dnscat.0893012b76e996fdf7cea20023394906b6	
